isin,market_value,currency
KR7005380001,9338795,USD
CNE100000Q35,1068423,USD
KYG3777B1032,9637388,USD
US5787871038,5467105,USD
SE0016844831,4168401,USD
TW0002646007,6371201,USD
INE646L01027,8355228,USD
US38045R2067,7952384,USD
PHY1234G1032,180886,USD
US00910M1009,6809079,USD
INE070A01015,1013567,USD
CNE000000XV4,8873793,USD
PK0059501012,5829360,USD
INE583C01021,6059486,USD
MYL5000OO004,6433976,USD
AU000000BCB5,9186193,USD
US03940R1077,265189,USD
ID1000162902,1712519,USD
US03485P3001,4712749,USD
CNE0000017V2,5989615,USD
NL0010545661,3343735,USD
CNE000000FH0,8915246,USD
US6937181088,9800223,USD
US9288541082,7226287,USD
CA62910L1022,9449577,USD
IL0011419699,7746343,USD
SE0020180917,1788562,USD
AU000000BUY9,1578448,USD
KR7096770003,860209,USD
US45325E2019,4071578,USD
CA45790B7088,8510107,USD
US0188021085,7030638,USD
JP3981200003,344741,USD
GB00B1VNSX38,6493591,USD
BRENGICDAM16,9257903,USD
MHY271836006,1571628,USD
MHY2687W1241,2627572,USD
TH0363010R10,8711798,USD
JP3247600004,4447848,USD
IL0065100930,1121308,USD
QA000A0KD6K3,6405719,USD
US92023R4074,8204370,USD
JP3342000001,8564047,USD
US88031M1099,149263,USD
TW0009957001,4538558,USD
